Nom du projet,Secteur,Énergie utilisée,Type de transport,Distance transport (km),Fréquence transport,Matériaux,Taille de l’équipe / locaux,Durée de vie estimée (ans),Budget carbone estimé (tCO2e),Score ESG initial
Projet_1041,Construction immobilière,mix,maritime,8912.65,ponctuelle,"recyclé, bois",10,15,734.98,60.13
Projet_1042,Projets numériques,mix,aérien,3872.59,hebdomadaire,"recyclé, bois",5,37,374.55,17.53
Projet_1043,Production industrielle,mix,routier,9401.32,quotidienne,"acier, verre, plastique",200,46,888.48,4.44
Projet_1044,Projets numériques,renouvelable,routier,8272.31,hebdomadaire,"acier, béton, recyclé",5,33,891.78,76.34
Projet_1045,Agriculture durable,mix,maritime,1642.58,quotidienne,"recyclé, bois",5,12,121.78,57.52
Projet_1046,Transport / logistique,renouvelable,routier,5243.14,mensuelle,"verre, béton, recyclé",50,5,859.17,78.88
Projet_1047,Production industrielle,fossile,routier,9523.52,mensuelle,"bois, béton, verre",20,16,195.75,15.1
Projet_1048,Projets numériques,fossile,aérien,1675.78,ponctuelle,recyclé,100,48,900.16,92.34
Projet_1049,Construction immobilière,fossile,routier,2287.26,quotidienne,plastique,5,17,509.98,98.75
Projet_1050,Transport / logistique,fossile,maritime,8172.78,hebdomadaire,"bois, plastique, verre",200,40,15.39,0.37
Projet_1051,Transport / logistique,renouvelable,ferroviaire,9169.53,mensuelle,"plastique, béton",10,47,164.01,63.49
Projet_1052,Projets numériques,renouvelable,routier,372.26,hebdomadaire,recyclé,20,7,811.22,1.15
Projet_1053,Production industrielle,renouvelable,ferroviaire,2953.04,hebdomadaire,"plastique, béton, acier",5,37,279.42,47.34
Projet_1054,Agriculture durable,fossile,maritime,128.17,quotidienne,"plastique, béton, verre",50,19,913.32,41.51
Projet_1055,Production industrielle,fossile,maritime,2958.3,mensuelle,acier,100,23,519.86,86.69
Projet_1056,Production industrielle,renouvelable,aérien,3683.48,mensuelle,"acier, béton, verre",50,30,146.92,14.61
Projet_1057,Construction immobilière,mix,maritime,8278.33,quotidienne,acier,100,23,509.2,49.67
Projet_1058,Construction immobilière,mix,ferroviaire,7436.39,quotidienne,recyclé,100,43,190.32,85.29
Projet_1059,Transport / logistique,fossile,routier,7852.94,ponctuelle,"bois, verre, acier",20,34,593.16,12.63
Projet_1060,Construction immobilière,fossile,maritime,7279.92,hebdomadaire,"verre, recyclé, bois",100,43,261.16,27.87
Projet_1061,Transport / logistique,mix,routier,5556.44,hebdomadaire,bois,5,44,984.65,76.12
Projet_1062,Production industrielle,renouvelable,routier,1127.53,hebdomadaire,"plastique, acier, béton",10,39,691.78,80.04
Projet_1063,Production industrielle,renouvelable,aérien,9171.37,mensuelle,"verre, recyclé",200,22,594.95,22.06
Projet_1064,Construction immobilière,renouvelable,maritime,7538.68,mensuelle,"recyclé, béton",5,15,15.18,48.99
Projet_1065,Transport / logistique,fossile,ferroviaire,6682.06,ponctuelle,"bois, acier, plastique",5,25,78.69,64.37
Projet_1066,Projets numériques,mix,routier,5960.98,mensuelle,bois,10,22,415.16,95.54
Projet_1067,Agriculture durable,mix,ferroviaire,669.23,ponctuelle,"recyclé, acier",100,32,659.17,46.47
Projet_1068,Projets numériques,renouvelable,aérien,9601.41,mensuelle,verre,50,21,485.65,83.16
Projet_1069,Projets numériques,renouvelable,maritime,4914.0,ponctuelle,"acier, bois, béton",200,35,829.68,74.02
Projet_1070,Construction immobilière,fossile,routier,1923.37,hebdomadaire,acier,10,43,343.59,71.5
Projet_1071,Transport / logistique,mix,routier,1893.46,hebdomadaire,"béton, verre, recyclé",5,49,652.4,88.99
Projet_1072,Transport / logistique,renouvelable,maritime,5636.2,quotidienne,"recyclé, plastique",5,29,578.31,76.74
Projet_1073,Agriculture durable,fossile,routier,3382.96,quotidienne,"verre, acier",100,29,252.07,71.84
Projet_1074,Projets numériques,mix,maritime,9924.17,mensuelle,"bois, verre, béton",100,48,510.13,90.29
Projet_1075,Projets numériques,fossile,ferroviaire,8585.84,mensuelle,recyclé,100,28,207.47,7.53
Projet_1076,Construction immobilière,renouvelable,maritime,7607.54,ponctuelle,"acier, verre",50,29,92.38,6.12
Projet_1077,Construction immobilière,mix,routier,3017.97,mensuelle,"plastique, verre, bois",10,28,297.56,2.35
Projet_1078,Production industrielle,mix,ferroviaire,4152.34,quotidienne,"plastique, recyclé",5,42,617.66,43.26
Projet_1079,Agriculture durable,mix,maritime,626.42,mensuelle,verre,20,9,731.0,89.76
Projet_1080,Construction immobilière,mix,routier,4743.96,hebdomadaire,"bois, recyclé",200,20,66.67,9.84
Projet_1081,Construction immobilière,fossile,routier,9579.68,hebdomadaire,bois,10,37,664.37,65.13
Projet_1082,Transport / logistique,mix,routier,1932.0,hebdomadaire,"béton, verre",200,36,803.8,75.5
Projet_1083,Projets numériques,mix,routier,9603.89,mensuelle,"recyclé, verre, acier",20,47,806.74,72.54
Projet_1084,Transport / logistique,fossile,routier,631.57,quotidienne,acier,200,19,216.12,0.77
Projet_1085,Transport / logistique,mix,maritime,5345.92,quotidienne,bois,5,43,390.73,91.4
Projet_1086,Agriculture durable,mix,ferroviaire,6484.81,mensuelle,"verre, acier, bois",5,27,259.65,5.82
Projet_1087,Projets numériques,renouvelable,routier,584.09,mensuelle,"acier, béton",20,31,217.12,35.67
Projet_1088,Construction immobilière,mix,aérien,9165.72,mensuelle,"recyclé, acier, plastique",20,18,873.51,89.33
Projet_1089,Transport / logistique,fossile,aérien,2120.65,ponctuelle,"recyclé, bois",5,34,565.44,10.88
Projet_1090,Construction immobilière,fossile,ferroviaire,1106.57,ponctuelle,béton,5,16,797.5,43.16
Projet_1091,Production industrielle,fossile,aérien,5858.41,mensuelle,recyclé,50,11,122.98,71.64
Projet_1092,Construction immobilière,fossile,ferroviaire,8620.95,ponctuelle,recyclé,100,10,708.33,4.72
Projet_1093,Projets numériques,mix,routier,6586.95,mensuelle,"verre, béton, acier",10,27,396.92,52.56
Projet_1094,Construction immobilière,fossile,maritime,5858.2,hebdomadaire,verre,100,29,750.54,35.46
Projet_1095,Transport / logistique,renouvelable,ferroviaire,5104.22,mensuelle,plastique,200,36,729.24,47.57
Projet_1096,Agriculture durable,mix,ferroviaire,875.54,mensuelle,"acier, béton",50,29,767.02,51.4
Projet_1097,Transport / logistique,renouvelable,ferroviaire,6762.1,hebdomadaire,"acier, bois",200,34,82.95,4.61
Projet_1098,Construction immobilière,renouvelable,maritime,4053.31,hebdomadaire,"acier, plastique, béton",20,35,69.17,35.59
Projet_1099,Projets numériques,renouvelable,routier,5912.95,ponctuelle,recyclé,200,40,173.5,71.58
Projet_1100,Transport / logistique,mix,ferroviaire,5922.42,quotidienne,"acier, béton, bois",20,28,540.57,93.78
Projet_1101,Production industrielle,fossile,maritime,3178.46,mensuelle,"bois, plastique",10,16,391.24,53.9
Projet_1102,Construction immobilière,renouvelable,maritime,714.11,hebdomadaire,plastique,50,14,758.44,39.23
Projet_1103,Transport / logistique,renouvelable,routier,2290.7,ponctuelle,recyclé,5,26,433.67,57.38
Projet_1104,Construction immobilière,mix,aérien,8538.5,hebdomadaire,"acier, verre, béton",5,26,203.74,53.36
Projet_1105,Production industrielle,renouvelable,maritime,5249.91,ponctuelle,bois,20,46,884.98,45.73
Projet_1106,Projets numériques,renouvelable,maritime,9181.84,quotidienne,"verre, recyclé, acier",5,17,928.05,4.99
Projet_1107,Projets numériques,renouvelable,aérien,4890.78,hebdomadaire,"recyclé, bois, béton",100,38,698.17,28.56
Projet_1108,Transport / logistique,fossile,aérien,4607.36,quotidienne,"recyclé, acier",50,14,238.98,1.34
Projet_1109,Agriculture durable,fossile,maritime,2448.01,hebdomadaire,"recyclé, verre",5,35,740.97,36.35
Projet_1110,Transport / logistique,renouvelable,routier,4989.04,quotidienne,bois,10,22,858.94,7.4
Projet_1111,Projets numériques,renouvelable,ferroviaire,9154.93,quotidienne,recyclé,10,32,143.97,70.27
Projet_1112,Transport / logistique,renouvelable,maritime,6408.04,ponctuelle,verre,100,34,725.71,99.02
Projet_1113,Transport / logistique,fossile,maritime,8594.89,mensuelle,bois,200,23,969.17,78.16
Projet_1114,Construction immobilière,renouvelable,ferroviaire,8317.38,quotidienne,bois,10,15,352.05,53.16
Projet_1115,Production industrielle,fossile,aérien,6348.65,hebdomadaire,"recyclé, bois, acier",10,31,497.28,30.11
Projet_1116,Production industrielle,fossile,ferroviaire,6253.0,ponctuelle,"plastique, recyclé, bois",200,7,882.24,7.0
Projet_1117,Construction immobilière,renouvelable,aérien,2203.28,quotidienne,"bois, plastique, verre",100,26,276.94,47.28
Projet_1118,Production industrielle,fossile,aérien,7621.73,mensuelle,"verre, bois, béton",200,47,201.14,82.15
Projet_1119,Agriculture durable,mix,aérien,2260.39,quotidienne,plastique,5,48,311.4,70.72
Projet_1120,Agriculture durable,mix,ferroviaire,6250.06,ponctuelle,acier,5,50,229.67,38.95
Projet_1121,Projets numériques,fossile,aérien,3438.98,mensuelle,bois,100,22,494.57,5.02
Projet_1122,Transport / logistique,fossile,ferroviaire,2826.45,quotidienne,"bois, acier",100,48,809.07,51.68
Projet_1123,Agriculture durable,renouvelable,maritime,1046.74,ponctuelle,"verre, bois",100,39,251.61,2.16
Projet_1124,Production industrielle,mix,maritime,2311.83,hebdomadaire,"recyclé, verre, plastique",10,45,862.03,8.43
Projet_1125,Projets numériques,fossile,routier,4414.88,ponctuelle,"bois, béton, acier",10,34,835.0,70.09
Projet_1126,Production industrielle,mix,aérien,818.27,hebdomadaire,bois,100,47,27.9,67.63
Projet_1127,Production industrielle,fossile,maritime,4689.42,ponctuelle,"acier, recyclé",5,49,260.34,5.55
Projet_1128,Construction immobilière,renouvelable,maritime,208.84,hebdomadaire,recyclé,50,47,105.85,6.04
Projet_1129,Production industrielle,renouvelable,routier,3224.52,mensuelle,bois,100,12,757.75,4.71
Projet_1130,Construction immobilière,renouvelable,routier,5853.01,mensuelle,"acier, béton",20,24,305.14,83.83
Projet_1131,Agriculture durable,fossile,aérien,9678.34,ponctuelle,"plastique, bois",50,36,577.62,14.52
Projet_1132,Agriculture durable,renouvelable,maritime,4703.98,quotidienne,"recyclé, verre",100,26,752.67,26.2
Projet_1133,Agriculture durable,fossile,aérien,9923.83,ponctuelle,"bois, plastique, recyclé",5,22,985.23,80.22
Projet_1134,Transport / logistique,mix,maritime,2034.51,hebdomadaire,recyclé,10,9,893.63,12.07
Projet_1135,Agriculture durable,mix,maritime,1753.32,mensuelle,"béton, recyclé",200,17,807.26,24.91
Projet_1136,Agriculture durable,fossile,maritime,3741.94,mensuelle,"verre, béton",5,10,85.09,50.99
Projet_1137,Production industrielle,mix,aérien,7455.55,mensuelle,béton,50,22,456.33,78.7
Projet_1138,Agriculture durable,renouvelable,aérien,6169.18,quotidienne,verre,20,22,269.32,10.72
Projet_1139,Transport / logistique,mix,maritime,108.27,ponctuelle,"recyclé, bois",20,15,587.34,99.34
Projet_1140,Agriculture durable,mix,aérien,8302.89,ponctuelle,"béton, bois, acier",100,23,874.67,64.52
Projet_1141,Transport / logistique,mix,aérien,6304.04,mensuelle,"acier, plastique",5,16,903.26,31.92
Projet_1142,Production industrielle,mix,ferroviaire,459.08,hebdomadaire,"recyclé, acier, plastique",10,32,967.28,44.61
Projet_1143,Production industrielle,renouvelable,ferroviaire,7309.9,mensuelle,"bois, béton",100,28,336.34,77.8
Projet_1144,Transport / logistique,fossile,routier,1276.19,mensuelle,"béton, plastique, acier",100,34,673.69,53.7
Projet_1145,Construction immobilière,renouvelable,ferroviaire,200.78,quotidienne,"béton, acier",5,22,663.19,90.57
Projet_1146,Production industrielle,renouvelable,routier,1507.05,mensuelle,plastique,5,18,401.86,47.43
Projet_1147,Construction immobilière,mix,routier,9355.2,hebdomadaire,"recyclé, bois",200,39,428.92,49.63
Projet_1148,Projets numériques,renouvelable,routier,9402.12,mensuelle,bois,20,49,303.79,45.88
Projet_1149,Projets numériques,fossile,maritime,1576.92,mensuelle,acier,10,34,623.58,22.98
Projet_1150,Transport / logistique,mix,ferroviaire,2523.84,hebdomadaire,"bois, recyclé",10,40,35.05,30.19
Projet_1151,Projets numériques,renouvelable,maritime,3547.49,quotidienne,"béton, acier",5,17,145.86,49.9
Projet_1152,Transport / logistique,renouvelable,routier,2522.98,mensuelle,"bois, recyclé",5,17,845.54,26.15
Projet_1153,Projets numériques,mix,routier,9373.89,quotidienne,"béton, verre, plastique",10,22,651.2,20.66
Projet_1154,Projets numériques,fossile,maritime,3270.04,hebdomadaire,"recyclé, verre",100,27,229.59,35.91
Projet_1155,Production industrielle,renouvelable,ferroviaire,5171.12,mensuelle,"verre, plastique, recyclé",5,17,887.6,93.27
Projet_1156,Construction immobilière,renouvelable,maritime,4536.99,ponctuelle,bois,5,14,603.36,47.92
Projet_1157,Projets numériques,mix,maritime,1457.26,ponctuelle,"bois, acier",5,17,287.99,79.91
Projet_1158,Agriculture durable,fossile,aérien,2462.01,mensuelle,bois,20,33,529.32,72.99
Projet_1159,Agriculture durable,mix,ferroviaire,301.7,mensuelle,"bois, verre, plastique",10,48,649.69,60.41
Projet_1160,Production industrielle,fossile,maritime,1461.72,hebdomadaire,verre,20,17,398.72,94.19
Projet_1161,Agriculture durable,renouvelable,maritime,8403.36,quotidienne,"verre, béton, plastique",20,35,184.6,12.69
Projet_1162,Transport / logistique,renouvelable,aérien,6537.22,hebdomadaire,"verre, recyclé",20,17,40.29,9.58
Projet_1163,Projets numériques,mix,routier,9382.34,ponctuelle,verre,50,7,908.36,80.46
Projet_1164,Transport / logistique,mix,aérien,4309.06,ponctuelle,"acier, bois, verre",200,31,882.61,70.4
Projet_1165,Agriculture durable,renouvelable,maritime,6248.05,ponctuelle,"verre, recyclé",50,37,234.79,18.95
Projet_1166,Production industrielle,fossile,aérien,5341.31,mensuelle,recyclé,200,41,803.81,19.39
Projet_1167,Agriculture durable,fossile,maritime,421.4,mensuelle,"béton, verre, plastique",50,49,223.67,0.44
Projet_1168,Agriculture durable,renouvelable,routier,9231.91,ponctuelle,"bois, plastique, verre",200,5,950.76,45.75
Projet_1169,Transport / logistique,renouvelable,ferroviaire,9734.62,hebdomadaire,recyclé,10,49,248.88,99.04
Projet_1170,Construction immobilière,renouvelable,maritime,4607.08,quotidienne,"bois, plastique, acier",10,12,175.75,23.69
Projet_1171,Construction immobilière,renouvelable,ferroviaire,8215.8,mensuelle,verre,100,30,236.36,70.08
Projet_1172,Projets numériques,mix,routier,1460.61,ponctuelle,"plastique, béton",100,41,383.06,94.64
Projet_1173,Agriculture durable,mix,ferroviaire,8910.74,ponctuelle,acier,200,13,661.21,73.17
Projet_1174,Projets numériques,mix,routier,4439.0,hebdomadaire,plastique,20,43,397.06,41.95
Projet_1175,Transport / logistique,mix,aérien,9274.5,ponctuelle,"béton, recyclé",200,49,345.46,7.14
Projet_1176,Agriculture durable,mix,maritime,7525.2,quotidienne,"béton, recyclé",5,9,853.23,92.32
Projet_1177,Projets numériques,mix,ferroviaire,8060.25,ponctuelle,bois,100,40,411.7,26.68
Projet_1178,Construction immobilière,mix,maritime,7611.04,hebdomadaire,acier,50,7,788.73,58.79
Projet_1179,Production industrielle,renouvelable,aérien,9967.5,mensuelle,plastique,10,17,691.05,79.18
Projet_1180,Projets numériques,fossile,maritime,8310.34,hebdomadaire,"recyclé, acier",50,27,542.11,8.1
Projet_1181,Projets numériques,renouvelable,ferroviaire,888.9,mensuelle,plastique,10,10,854.98,69.31
Projet_1182,Agriculture durable,fossile,routier,5536.24,hebdomadaire,plastique,200,14,204.79,18.02
Projet_1183,Transport / logistique,fossile,routier,291.85,hebdomadaire,"béton, verre",100,44,10.14,40.56
Projet_1184,Transport / logistique,fossile,ferroviaire,3435.08,hebdomadaire,"bois, verre",50,22,884.14,57.54
Projet_1185,Projets numériques,fossile,routier,3751.33,ponctuelle,recyclé,50,24,61.57,28.59
Projet_1186,Transport / logistique,renouvelable,ferroviaire,5894.26,hebdomadaire,"béton, acier",50,19,402.44,86.67
Projet_1187,Transport / logistique,renouvelable,ferroviaire,8661.36,hebdomadaire,"acier, plastique, recyclé",50,23,330.66,37.95
Projet_1188,Projets numériques,renouvelable,aérien,9728.43,quotidienne,"bois, plastique, béton",200,14,602.1,81.57
Projet_1189,Transport / logistique,fossile,ferroviaire,1700.75,mensuelle,"bois, recyclé, béton",50,17,674.88,45.62
Projet_1190,Construction immobilière,renouvelable,ferroviaire,1645.83,quotidienne,"plastique, recyclé",20,36,224.8,38.25
Projet_1191,Transport / logistique,fossile,maritime,6354.61,mensuelle,"acier, plastique",200,29,821.6,92.15
Projet_1192,Construction immobilière,mix,maritime,4099.29,mensuelle,"bois, béton",200,22,741.74,12.62
Projet_1193,Projets numériques,renouvelable,maritime,7895.19,hebdomadaire,plastique,100,47,714.25,68.14
Projet_1194,Construction immobilière,renouvelable,maritime,7018.1,quotidienne,"verre, acier, bois",50,39,828.72,8.52
Projet_1195,Projets numériques,renouvelable,aérien,8312.78,quotidienne,"béton, acier",50,35,180.9,36.2
Projet_1196,Agriculture durable,mix,aérien,1002.03,mensuelle,"béton, verre, recyclé",5,30,874.35,52.51
Projet_1197,Production industrielle,fossile,maritime,8026.41,ponctuelle,bois,200,12,370.9,30.89
Projet_1198,Agriculture durable,fossile,ferroviaire,8913.16,mensuelle,"acier, béton",5,23,275.71,12.17
Projet_1199,Projets numériques,renouvelable,routier,5308.76,mensuelle,recyclé,50,12,474.85,83.53
Projet_1200,Construction immobilière,mix,ferroviaire,8202.24,ponctuelle,"plastique, acier",200,8,729.02,20.68
Projet_1201,Projets numériques,fossile,maritime,1532.61,quotidienne,"plastique, verre",5,15,766.28,85.33
Projet_1202,Transport / logistique,renouvelable,aérien,8583.4,hebdomadaire,verre,10,45,676.27,23.52
Projet_1203,Transport / logistique,fossile,routier,2277.91,hebdomadaire,"acier, verre, béton",50,8,412.61,50.75
Projet_1204,Projets numériques,mix,routier,9561.36,mensuelle,"plastique, béton, recyclé",20,29,141.77,51.26
Projet_1205,Projets numériques,renouvelable,aérien,4436.49,quotidienne,recyclé,20,36,74.67,10.37
Projet_1206,Transport / logistique,mix,aérien,9281.33,ponctuelle,"verre, bois, acier",200,46,820.2,53.94
Projet_1207,Agriculture durable,mix,aérien,467.35,quotidienne,béton,5,7,226.25,70.07
Projet_1208,Transport / logistique,mix,maritime,9576.43,ponctuelle,"acier, plastique, verre",20,36,999.0,52.45
Projet_1209,Projets numériques,renouvelable,routier,2863.23,ponctuelle,"plastique, béton",10,14,170.94,63.34
Projet_1210,Agriculture durable,renouvelable,maritime,892.34,mensuelle,"plastique, béton, recyclé",100,17,69.58,75.68
Projet_1211,Projets numériques,mix,aérien,6763.58,mensuelle,"verre, plastique",200,8,914.15,67.11
Projet_1212,Construction immobilière,mix,aérien,5043.71,hebdomadaire,"acier, plastique",5,15,602.7,10.22
Projet_1213,Transport / logistique,renouvelable,maritime,5764.99,ponctuelle,plastique,5,19,477.41,25.01
Projet_1214,Agriculture durable,fossile,aérien,4749.31,quotidienne,"bois, verre",50,7,14.74,60.72
Projet_1215,Construction immobilière,renouvelable,aérien,5170.32,mensuelle,"bois, acier",50,42,325.18,12.83
Projet_1216,Production industrielle,fossile,aérien,2852.26,quotidienne,"recyclé, verre",100,47,902.79,38.89
Projet_1217,Agriculture durable,mix,ferroviaire,452.68,mensuelle,"recyclé, bois, acier",100,47,644.39,19.19
Projet_1218,Production industrielle,mix,maritime,6538.3,ponctuelle,recyclé,50,34,849.75,38.87
Projet_1219,Agriculture durable,fossile,routier,621.22,hebdomadaire,"acier, bois",5,35,436.66,94.51
Projet_1220,Projets numériques,fossile,routier,2291.85,quotidienne,recyclé,50,30,520.33,82.39
Projet_1221,Agriculture durable,mix,maritime,9004.81,ponctuelle,"plastique, bois, acier",50,21,694.66,1.72
Projet_1222,Transport / logistique,fossile,routier,7768.27,quotidienne,"verre, recyclé, béton",20,33,620.14,34.31
Projet_1223,Construction immobilière,fossile,aérien,9131.7,ponctuelle,recyclé,200,28,682.71,3.51
Projet_1224,Transport / logistique,renouvelable,routier,6634.94,ponctuelle,"béton, acier, bois",100,7,404.88,14.46
Projet_1225,Construction immobilière,renouvelable,maritime,9197.75,ponctuelle,"acier, recyclé, bois",5,29,853.17,65.42
Projet_1226,Agriculture durable,renouvelable,ferroviaire,5459.16,mensuelle,verre,100,43,966.14,45.12
Projet_1227,Construction immobilière,renouvelable,aérien,6759.12,ponctuelle,plastique,50,5,195.59,45.97
Projet_1228,Projets numériques,mix,routier,2829.19,hebdomadaire,"bois, acier, verre",200,37,838.4,35.92
Projet_1229,Projets numériques,fossile,ferroviaire,3092.04,quotidienne,"verre, recyclé",50,42,829.08,49.25
Projet_1230,Construction immobilière,renouvelable,routier,8955.04,quotidienne,"béton, verre",20,18,718.73,84.68
Projet_1231,Transport / logistique,fossile,aérien,4350.16,ponctuelle,bois,20,22,694.08,74.68
Projet_1232,Projets numériques,fossile,ferroviaire,9080.06,hebdomadaire,"béton, bois",20,5,725.44,46.34
Projet_1233,Construction immobilière,fossile,routier,2120.96,quotidienne,"verre, béton, acier",200,13,583.66,75.05
Projet_1234,Agriculture durable,mix,aérien,3055.05,ponctuelle,acier,5,10,20.91,36.76
Projet_1235,Construction immobilière,fossile,ferroviaire,5218.85,quotidienne,"verre, acier",5,33,254.29,45.45
Projet_1236,Production industrielle,renouvelable,aérien,3038.89,mensuelle,plastique,100,33,490.49,93.5
Projet_1237,Agriculture durable,fossile,aérien,6044.84,mensuelle,plastique,5,49,515.98,10.29
Projet_1238,Construction immobilière,renouvelable,aérien,2705.12,hebdomadaire,acier,20,23,207.58,19.06
Projet_1239,Agriculture durable,fossile,aérien,9207.06,mensuelle,"acier, béton, recyclé",50,50,950.67,57.73
Projet_1240,Production industrielle,renouvelable,aérien,2617.26,quotidienne,plastique,100,25,413.89,87.06
Projet_1241,Agriculture durable,fossile,maritime,3769.05,hebdomadaire,"béton, recyclé, acier",10,44,428.57,61.19
Projet_1242,Projets numériques,renouvelable,routier,1755.9,ponctuelle,plastique,50,18,759.48,5.51
Projet_1243,Production industrielle,renouvelable,ferroviaire,6037.14,mensuelle,recyclé,100,34,588.37,47.01
Projet_1244,Transport / logistique,mix,ferroviaire,6035.69,ponctuelle,béton,5,16,493.72,20.02
Projet_1245,Projets numériques,renouvelable,ferroviaire,5008.0,quotidienne,béton,100,23,961.39,19.05
Projet_1246,Construction immobilière,mix,routier,2774.91,mensuelle,"plastique, recyclé, acier",100,38,548.48,23.2
Projet_1247,Transport / logistique,mix,routier,8139.02,quotidienne,verre,50,31,75.47,91.97
Projet_1248,Projets numériques,renouvelable,routier,8157.01,quotidienne,béton,50,40,648.42,88.33
Projet_1249,Transport / logistique,fossile,aérien,9388.81,quotidienne,"plastique, béton",200,17,483.21,65.52
Projet_1250,Transport / logistique,fossile,routier,3064.81,hebdomadaire,"plastique, béton",200,45,124.75,71.59
Projet_1251,Production industrielle,mix,ferroviaire,6110.48,quotidienne,acier,5,18,395.83,11.14
Projet_1252,Transport / logistique,mix,aérien,1466.2,ponctuelle,béton,10,20,232.68,2.68
Projet_1253,Agriculture durable,renouvelable,maritime,7607.52,ponctuelle,recyclé,20,13,186.92,57.62
Projet_1254,Transport / logistique,fossile,aérien,9293.76,mensuelle,"bois, verre",50,41,376.8,63.47
Projet_1255,Production industrielle,fossile,aérien,5995.09,quotidienne,"acier, bois",100,44,801.22,50.41
Projet_1256,Production industrielle,mix,ferroviaire,7726.28,mensuelle,"plastique, béton",200,7,751.35,6.05
Projet_1257,Projets numériques,mix,aérien,8131.51,ponctuelle,"bois, recyclé",100,14,493.42,72.42
Projet_1258,Production industrielle,renouvelable,ferroviaire,2679.35,quotidienne,"béton, bois",10,39,401.54,69.37
Projet_1259,Agriculture durable,mix,ferroviaire,149.15,hebdomadaire,"recyclé, plastique, béton",50,31,875.01,58.19
Projet_1260,Projets numériques,mix,ferroviaire,6181.47,ponctuelle,"béton, acier, bois",100,45,733.54,11.89
Projet_1261,Agriculture durable,renouvelable,aérien,2929.37,ponctuelle,"plastique, béton",20,24,258.02,48.15
Projet_1262,Construction immobilière,fossile,maritime,5077.68,quotidienne,"béton, verre, bois",100,13,654.47,12.08
Projet_1263,Construction immobilière,renouvelable,aérien,1478.46,mensuelle,"verre, acier, plastique",50,16,776.37,21.27
Projet_1264,Construction immobilière,renouvelable,aérien,6632.73,quotidienne,"acier, béton",100,28,771.56,98.63
Projet_1265,Transport / logistique,renouvelable,ferroviaire,8586.97,quotidienne,"recyclé, plastique",20,28,526.99,77.87
Projet_1266,Agriculture durable,renouvelable,ferroviaire,7186.73,hebdomadaire,"verre, acier",100,12,507.61,58.7
Projet_1267,Construction immobilière,mix,ferroviaire,146.63,quotidienne,"béton, bois, acier",50,8,136.27,74.52
Projet_1268,Transport / logistique,mix,routier,828.09,ponctuelle,"verre, béton, bois",50,22,274.77,63.75
Projet_1269,Production industrielle,renouvelable,aérien,5659.73,hebdomadaire,"plastique, béton",10,14,607.37,28.16
Projet_1270,Agriculture durable,mix,ferroviaire,8749.7,mensuelle,"verre, bois, plastique",20,23,353.43,46.86
Projet_1271,Transport / logistique,mix,aérien,7893.33,hebdomadaire,"béton, verre",50,28,807.77,51.37
Projet_1272,Construction immobilière,mix,routier,4986.34,mensuelle,"plastique, bois, recyclé",10,26,748.86,68.79
Projet_1273,Production industrielle,renouvelable,aérien,6298.55,ponctuelle,"plastique, recyclé",50,19,415.22,90.51
Projet_1274,Agriculture durable,renouvelable,aérien,2830.6,ponctuelle,"recyclé, verre, bois",20,32,143.79,87.72
Projet_1275,Agriculture durable,renouvelable,maritime,4268.38,ponctuelle,bois,5,6,922.27,7.8
Projet_1276,Agriculture durable,mix,maritime,5077.15,ponctuelle,"recyclé, verre",5,22,244.04,37.75
Projet_1277,Transport / logistique,renouvelable,ferroviaire,7990.55,mensuelle,bois,200,19,240.92,54.06
Projet_1278,Projets numériques,renouvelable,routier,8697.86,mensuelle,recyclé,200,49,813.17,7.0
Projet_1279,Transport / logistique,renouvelable,maritime,6278.04,quotidienne,"recyclé, plastique, acier",200,23,258.61,42.57
Projet_1280,Production industrielle,renouvelable,ferroviaire,3477.18,mensuelle,"bois, recyclé, plastique",100,26,722.05,55.74
Projet_1281,Agriculture durable,mix,routier,8493.2,mensuelle,verre,10,28,263.22,59.78
Projet_1282,Agriculture durable,renouvelable,routier,2036.34,quotidienne,"plastique, bois",100,6,127.31,96.6
Projet_1283,Construction immobilière,renouvelable,aérien,7178.56,hebdomadaire,bois,200,38,826.17,63.61
Projet_1284,Production industrielle,mix,maritime,6146.53,mensuelle,"bois, verre",100,7,380.51,8.46
Projet_1285,Transport / logistique,renouvelable,ferroviaire,9866.24,mensuelle,"plastique, bois, verre",50,38,832.79,79.73
Projet_1286,Agriculture durable,renouvelable,routier,815.42,hebdomadaire,bois,50,16,88.93,51.33
Projet_1287,Production industrielle,fossile,ferroviaire,2661.5,hebdomadaire,"verre, bois, plastique",200,35,898.38,93.66
Projet_1288,Agriculture durable,renouvelable,aérien,8080.09,ponctuelle,"verre, plastique",200,46,321.3,72.33
Projet_1289,Agriculture durable,fossile,maritime,2429.15,quotidienne,"béton, plastique",20,39,446.48,72.14
Projet_1290,Production industrielle,mix,routier,812.48,hebdomadaire,"plastique, béton",10,40,29.77,78.58
Projet_1291,Construction immobilière,renouvelable,ferroviaire,3839.85,mensuelle,"plastique, béton, acier",100,19,215.34,12.72
Projet_1292,Agriculture durable,renouvelable,ferroviaire,6105.21,ponctuelle,béton,20,15,412.38,79.95
Projet_1293,Construction immobilière,fossile,ferroviaire,4558.32,ponctuelle,"bois, verre",20,24,938.68,83.55
Projet_1294,Transport / logistique,mix,routier,6158.88,ponctuelle,"acier, béton",10,43,704.95,88.38
